linkId,blText,blHref,otherPersonName,otherPersonHref,workName,workHref
181_0001,epub,/Anatol_Viarcinski/Piesnia_pra_chleb.epub,,,Песня пра хлеб,/Anatol_Viarcinski/Piesnia_pra_chleb.html
181_0002,epub,/Anatol_Viarcinski/Dva_poli.epub,,,Два полі,/Anatol_Viarcinski/Dva_poli.html
181_0003,epub,"/Anatol_Viarcinski/Zyccio_dajecca,_kab_zyccio_tvaryc.epub",,,"«Жыццё даецца, каб жыццё тварыць...»","/Anatol_Viarcinski/Zyccio_dajecca,_kab_zyccio_tvaryc.html"
181_0004,epub,"/Anatol_Viarcinski/My,_miod_i_pcala.epub",,,"Мы, мёд і пчала","/Anatol_Viarcinski/My,_miod_i_pcala.html"
181_0005,epub,/Anatol_Viarcinski/Rekvijem_pa_koznym_cacviortym.epub,,,Рэквіем па кожным чацвёртым,/Anatol_Viarcinski/Rekvijem_pa_koznym_cacviortym.html
181_0006,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/9_klas/Anatol_Viarcinski.Varyjaciju_na_temu_Hiefest_druh_Pramieteja.mp3,,,"Вырыяцыі на тэму ""Гефест друг Праметэя""",/Anatol_Viarcinski/Vyryjacyi_na_temu_Hiefiest_druh_Pramieteja_audio.html
181_0007,mp3,"https://files.knihi.com/Knihi/audio-staroeradio.ru/Viarcinski_Anatol.Dziakuj,_vialiki_dziakuj.mp3",,,"Дзякуй, вялікі дзякуй","/Anatol_Viarcinski/Dziakuj,_vialiki_dziakuj_audio.html"
181_0008,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/9_klas/Anatol_Viarcinski.Zyccio_dajecca_kab_zyccio_tvaryc.mp3,,,Жыццё даецца каб жыццё тварыць...,/Anatol_Viarcinski/Zyccio_dajecca_kab_zyccio_tvaryc_audio.html
181_0009,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/11_klas/Anatol_Viarcinski.Piesnia_pra_chleb.mp3,,,Песня пра хлеб,/Anatol_Viarcinski/Piesnia_pra_chleb_audio.html
181_0010,mp3,https://files.knihi.com/Knihi/mininfarm/Skolnikam/7_klas/Anatol_Viarcinski.Rekvijem_pa_koznym_cacviortym.mp3,,,Рэквіем па кожным чацвёртым,/Anatol_Viarcinski/Rekvijem_pa_koznym_cacviortym_audio.html
181_0011,ogg,https://files.knihi.com/Knihi/audio-disk-kurhan/Viarcinski.Ja_zyu_vysoka_na_hary.ogg,,,Я жыў высока на гары,/Anatol_Viarcinski/Ja_zyu_vysoka_na_hary_audio.html
181_0012,epub,/Anatol_Viarcinski/Nju-Jorkskaja_sirena.epub,,,Нью-Йоркская сірэна,/Anatol_Viarcinski/Nju-Jorkskaja_sirena.html
181_0013,djvu,https://files.knihi.com/Knihi/scanned/Viarcinski.Chlopcyk_hladzic.djvu,,,Хлопчык глядзіць...,/Anatol_Viarcinski/Chlopcyk_hladzic.html
181_0014,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Dva_poli.mp3,,,Два полі,/Anatol_Viarcinski/Dva_poli_authoraudio.html
181_0015,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Zarnicy.mp3,,,Зарніцы,/Anatol_Viarcinski/Zarnicy_authoraudio.html
181_0016,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Nie_pomniu_takoha_leta.mp3,,,Не помню такога лета,/Anatol_Viarcinski/Nie_pomniu_takoha_leta_authoraudio.html
181_0017,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Pierad_sviatam_paezi_u_Viazyncy.mp3,,,Перад святам паэзі ў Вязынцы,/Anatol_Viarcinski/Pierad_sviatam_paezi_u_Viazyncy_authoraudio.html
181_0018,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Piesnia_pra_chleb.mp3,,,Песня пра хлеб,/Anatol_Viarcinski/Piesnia_pra_chleb_authoraudio.html
181_0019,mp3,https://files.knihi.com/Knihi/daslanaje001/Halasy_Paetau/Anatol_Viarcinski.Uspamin_byloha_viaskouca.mp3,,,Успамін былога вяскоўца,/Anatol_Viarcinski/Uspamin_byloha_viaskouca_authoraudio.html
181_0020,djvu,https://files.knihi.com/Knihi/scanned-n/Viarcinski_Anatol.Vietrana.djvu,,,Ветрана,/Anatol_Viarcinski/Vietrana.html
181_0021,djvu,https://files.knihi.com/Knihi/scanned-n/Viarcinski_Anatol.Vysokaje_nieba_ideala.djvu,,,Высокае неба ідэала,/Anatol_Viarcinski/Vysokaje_nieba_ideala.html
181_0022,djvu,https://files.knihi.com/Knihi/scanned-n/Viarcinski_Anatol.Nju_Jorkskaja_sirena.djvu,,,Нью-Йоркская сірэна,/Anatol_Viarcinski/Nju-Jorkskaja_sirena_scan.html
181_0023,djvu,https://files.knihi.com/Knihi/scanned-n/Viarcinski_Anatol.Tryvozny_dosvitak.djvu,,,Трывожны досвітак,/Anatol_Viarcinski/Tryvozny_dosvitak.html
181_0024,epub,/Alaksandar_Puskin/Vakchicnaja_piesnia_via.epub,Аляксандар Пушкін,/Alaksandar_Puskin/,Вакхічная песня,/Alaksandar_Puskin/Vakchicnaja_piesnia_via.html
